year,title,keywords_list,producers_list,directors_list,writers_list,editing_list,cinematography_list,production_design_list,music_departments_list
1988,Friday the 13th Part VII: The New Blood,supernatural serial murder slasher telekinesis friday the thirteenth jason voorhees character good versus evil sadistic psychopath psychopathic killer supernatural serial killer summer vacation jason voorhees friday the 13th psychotronic film undead sadistic murderer psychopath slasher murderer supernatural power maniac woods new jersey zombie demon darkness hell on earth villain masked villain masked man slasher horror bad guy insane man evil man evil evil versus evil grindhouse film monster corpse mysterious man mysterious villain intense violence hockey mask terror machete machete mutilation body count mutilated body saw murdered with a knife decapitated head blood spatter,"['Frank Mancuso Jr.', 'Iain Paterson', 'Barbara Sachs']",['John Carl Buechler'],"['Daryl Haney', 'Manuel Fidello', 'Sean S. Cunningham', 'Victor Miller']","[""Maureen O'Connell"", 'Martin Jay Sadoff', 'Barry Zetlin']",['Paul Elliott'],['Richard Lawrence'],"['Christopher Kennedy', 'Dan Goldwasser', 'Jeff Wolpert']"
1954,The Snow Creature,psychotronic film low budget sci fi movie raped by a monster yeti himalayas sherpa los angeles sewer system tibet abominable snowman scientist hero monster terrorizes city detective hero,['W. Lee Wilder'],['W. Lee Wilder'],['Myles Wilder'],['Jodie Copelan'],['Floyd Crosby'],[],['Manuel Compinsky']
1954,Gog,robot sci fi soda soda machine flamethrower freezing to death gunfire laboratory animal female scientist helicopter psychotronic film electrode syringe stethescope lab monkey cryogenic experiment reference to pavlovs dogs biology laboratory briefcase chained to wrist fingerprint veificaion computer control radiation badge solar flare convex mirror spectrohelioscope solar power crucible molten steel scale model of city super weapon gymnast sexism chemistry laboratory bell jar ibm teletype punch tape lighting a pipe security breach product placement coca cola machine laboratory tour flashing red light human centrifuge breaking a mirror cutting wire north american f 86 sabre lockheed f 104 starfighter nuclear reactor rocket plane v2 rocket launching 3 dimensional,['Ivan Tors'],['Herbert L. Strock'],"['Tom Taggart', 'Richard G. Taylor', 'Ivan Tors']",['Herbert L. Strock'],['Lothrop B. Worth'],[],"['Harry Sukman', 'Henry Vars']"
1998,Die Hard Dracula,sex horror dracula vampire character name in title,"['Bruce Glover', 'Peter Horak', 'Kristy L. Moore', 'Mark Morris']",['Peter Horak'],['Peter Horak'],['David Avallone'],['Mark Morris'],[],[]
1963,The Raven,magic duel professional rival marital infidelity talking bird supernatural fantasy gold digger magician raven castle sorcerer faked death good versus evil father son relationship father daughter relationship wizards duel magic deception psychotronic film men in tights b horror year 1506 gothic horror producer director coachman dark comedy dark fantasy 1500s price and lorre magic trick goes wrong karloff and lorre dungeon pillory vegetarian transmutation mistress incarceration english death haunted by the past talking animal cult director cult film based on poem fire corpse independent film,"['Samuel Z. Arkoff', 'Roger Corman', 'James H. Nicholson']",['Roger Corman'],"['Edgar Allan Poe', 'Richard Matheson']",['Ronald Sinclair'],['Floyd Crosby'],['Daniel Haller'],"['Albert Harris', 'Eve Newman', 'Al Simms', 'Albert Harris']"
1991,Freddy's Dead: The Final Nightmare,dream serial killer sixth part sequel nightmare 3 dimensional blood human monster dream within a dream good versus evil dark past repressed memory abusive childhood killing an animal adopted child child molestation shared dream dark comedy 3d nightmare becomes reality teenager gore apostrophe in title amnesia sleepwalking newspaper clipping sleep deprivation psychopath slasher scene during end credits disfigurement murder blood splatter insanity stabbed in the chest flashback slow motion scene glove death surrealism falling from height demon 1990s ohio punctuation in title scene during opening credits green blood ghost evil man bare chested male,"['Michael De Luca', 'Michael N. Knue', 'Robert Shaye', 'Aron Warner']",['Rachel Talalay'],"['Wes Craven', 'Rachel Talalay', 'Michael De Luca']",['Janice Hampton'],['Declan Quinn'],['C.J. Strawn'],"['Rosemary Carroll', 'Robin Gray', 'Bonnie Greenberg', 'Ashley Irwin', 'Michael Linn', 'Tanya McGinnis-Potvin', 'Jill Meyers', 'Maurie Sheldon', 'E. Gedney Webb', 'Virginia S. Ellsworth', 'Nerida Tyson-Chew']"
1988,Death House,murder of a nude woman female nudity murder fictional drug zombie virus prison nudity gore gangster framed for murder experiment gone wrong drowning arm ripped off independent film,"['Barry Gottheimer', 'Nick Marino', 'Marty Mazza', 'Nancy Paloian', 'Salvatore Richichi']",['John Saxon'],"['William Selby', 'David S. Freeman', 'Devorah Cutler', 'Devin Frazer']","['Fred Roth', 'Gary Blair']",['John V. Fante'],[],[]
1927,The Gorilla,murder ape lost film based on play,['Alfred Santell'],['Alfred Santell'],"['Al Boasberg', 'Alfred A. Cohn', 'Sidney Lazarus', 'Harry McArthur', 'Ralph Spence']",[],['Arthur Edeson'],[],[]
2008,Saw V,tied to a table self surgery jigsaw character amanda young character repeat sequel characters killed one by one body count cell phone trace horror icon neo noir survivors graphic violence intense violence roman numeral in title loss of sister revenge murder frame up murder of sister bad guy wins ends with death ends with murder male protagonist male villain male antagonist actor reprises previous role actress reprises previous role police investigation f word grindhouse film splatter horror heteronormativity jigsaw serial killer blood splatter swastika tattoo nazi game of death evil man famous theme safe deposit box key cell phone time limit countdown speech fbi agent stabbing gore flashback fight goth,"['Troy Begnaud', 'Peter Block', 'Mark Burg', 'Jason Constantine', 'Daniel J. Heffner', 'Gregg Hoffman', 'Oren Koules', 'Stacey Testro', 'James Wan', 'Leigh Whannell']",['David Hackl'],"['Patrick Melton', 'Marcus Dunstan']",['Kevin Greutert'],['David A. Armstrong'],['Anthony A. Ianni'],"['Rob Bertola', 'Charlie Clouser', 'Peter Freeman', 'Eric Gorfain', 'Danny Lohner', 'Yvonne McDonald', 'Jonathan McHugh', 'Jonathan Scott Miller', 'Tom Pigott Smith', 'Jonathan Platt', 'Hilary Skewes', 'Chas Smith', 'Tony Stanton', 'Synergy Vocals', 'Nick Wollage']"
2002,Wolves of Wall Street,werewolf horror bare chested male male underwear boxer briefs man undresses stockbroker new york city manhattan new york city wall street manhattan new york city nudity lesbian lesbianism homoeroticism job interview secret society,"['Paul Colichman', 'Eddy Collyns', 'Roberta Friedman', 'Andreas Hess', 'Sylvia Hess', 'Stephen P. Jarchow', 'Michael J. Mahoney', 'Jeffrey Schenck']",['David DeCoteau'],['Barry L. Levy'],['Bruce Little'],['Horacio Marquínez'],['Deana Sidney'],"['Jerry Lambert', 'Leonard Rogowski', 'Joe Silva']"
1993,My Boyfriend's Back,title based on song self referential humor romantic comedy satire romcom supernatural romance teen movie back from the dead zombie calling someone an idiot teen angst afterlife false accusation promise fountain of youth hen chicken comics blood self sacrifice doctor manhunt stupidity dog knocked unconscious parent child relationship friendship between teens mistake judgment deja vu revenge held at gunpoint graveyard syringe jock male virgin strapped down severed nose disembodied nose severed arm dance dark humor dark comedy absurd humor anti hero severed ear living dead angry mob murdered with an axe accidental suicide,"['Sean S. Cunningham', 'Debbie Hayn-Cass']",['Bob Balaban'],['Dean Lorey'],['Michael Jablow'],['Mac Ahlberg'],['Michael Z. Hanan'],"['Paul Broucek', 'Evyen Klean', 'Jerry Lambert', 'Michael Linn', 'Bobby Muzingo', 'Carl Zittrer', 'John Dickson', 'Jerry Lambert', 'Matt Walker']"
1993,Kiss and Be Killed,psychotronic film independent film,"['Lawrence Folgo', 'Tom Milo', 'Craig Shapiro']",['Tom Milo'],['Craig Shapiro'],"['Jo Alloway', 'Alex Scott']",['Alan McFarland'],[],[]
2003,Aquanoids,psychotronic film aquatic humanoid underwater scene aquanoids abalone creature sea creature shot on video creature feature mutant monster movie catalina avalon monster mutant creature independent film,"['Albert Gordon', 'Mark J. Gordon']","[""Reinhart 'Rayteam' Peschke""]","['Mark J. Gordon', 'Eric Spudic']",['Art Tejada'],"[""Reinhart 'Rayteam' Peschke""]",[],[]
1971,The Headless Eyes,murder spree manhunt serial murder minidress video nasty psychotronic film exploitation serial killer as protagonist antagonist as protagonist body part in title three word title proto slasher serial killer z movie pantyhose eye sadistic horror violence violence against a woman trauma slasher psychopath psycho thriller police nudity murder massacre maniac homicidal maniac gore eyeball eye gouging detective criminal city independent film,"['David Bowman', 'Henri Pachard', 'Bayard Stevens', 'Chandler Warren']",['Kent Bateman'],['Kent Bateman'],[],[],[],[]
2005,A Four Course Meal,zombie,"['Jason Bagley', 'Mark Hosack', 'Jeff Howard', 'Breanna Jarvis', 'Clay Liford']",['Clay Liford'],['Clay Liford'],"['Clay Liford', 'Dan Whiteman']",['Jason Croft'],['Amber Bordelon'],[]
1996,Scream,serial killer slasher masked killer female protagonist telephone call teen movie mystery killer whodunit telephone video store scream murder ghostface high school satire threatening telephone call revenge female reporter television reporter psychopath killing spree extramarital affair heroine revelation video store clerk villain garage car death horror icon grief blood splatter famous line famous opening scene gore small town lifting someone into the air violence scene of the crime cat spoof horror spoof murder of a police officer director cameo masked villain cameo home invasion popcorn suburb teen horror,"['Stuart M. Besser', 'Dixie J. Capp', 'Cathy Konrad', 'Marianne Maddalena', 'Nicholas Mastandrea', 'Bob Weinstein', 'Harvey Weinstein', 'Cary Woods']",['Wes Craven'],['Kevin Williamson'],['Patrick Lussier'],['Mark Irwin'],['Bruce Alan Miller'],"['Pete Anthony', 'Marco Beltrami', 'William Boston', 'Tim Boyle', 'Julian Bratolyubov', 'Ed Gerrard', 'Jeff Rabhan', 'Rose Thomson', 'Ken Watson', 'E. Gedney Webb', 'Mark Adams', 'Christophe Beck', 'Marco Beltrami', 'Bill Booth', 'Craig Braginsky', 'Kevin Brown', 'Bruce Dukov', 'Opie Gruves', 'The Hollywood Studio Symphony', 'Tommy Johnson', 'Jon Lewis', 'Warren Luening', ""Brian O'Connor"", 'John Reynolds', 'Steven Roberts', 'James Sawyer', 'Kurt Snyder', 'Sebastian Toettcher', 'Louise Di Tullio', 'Craig Ware']"
1957,Pharaoh's Curse,psychotronic film tomb curse egypt mummy aging secret door expedition 1900s archeologist,"['Howard W. Koch', 'Aubrey Schenck', 'Edwin F. Zabel']",['Lee Sholem'],['Richard H. Landau'],['George A. Gittens'],['William Margulies'],[],['Sam E. Waxman']
1989,After Midnight,strangulation psychotronic film urban legend slasher vengeance supernatural stalker psychopath afterlife man tied up hung upside down co ed urban setting college campus stalker teenage girl dog fear student college anthology professor slow motion scene chased by a dog sword prank gone wrong prank two word title broken leg telephone call guard operator flat tire surprise birthday party old house candle decapitation skeleton explosion convertible revenge storytelling murder fire axe violence wraparound story time in title,"['Richard Arlook', 'Michael Bennett', 'Allan Dennis', 'Peter Greene', 'Barry J. Hirsch', 'Jim Wheat', 'Ken Wheat']","['Jim Wheat', 'Ken Wheat']","['Ken Wheat', 'Jim Wheat']","['Cari Coughlin', 'Phillip Linson', 'Quinnie Martin Jr.']",['Phedon Papamichael'],['Paul Chadwick'],[]
1946,Bedlam,falling to death woman in jeopardy helping the less fortunate african american overweight cult favorite good versus evil strength insanity wine psychotronic film bedlam asylum quaker disability fall from height villain as protagonist implied rape shackles eating note horse historical event ridicule visions of hell violation of rights locked up locked in a cage christian subtext printing shop gin slapped in the face society of friends stonemason turban asphyxiation poetry recitation rooftop rescue religious fanatic dungeon apothecary committed to an asylum cockatoo stabbed in the back homicidal maniac covered in melted gold insane asylum cult director b movie reform,"['Jack J. Gross', 'Val Lewton']",['Mark Robson'],"['William Hogarth', 'Val Lewton', 'Mark Robson']",['Lyle Boyer'],['Nicholas Musuraca'],[],"['C. Bakaleinikoff', 'Gil Grau', 'Earl B. Mounce']"
2005,Jolly Roger: Massacre at Cutter's Cove,murder of a nude woman blood splatter nudity slasher pirate beach blood gore stabbed in the eye dying during sex murder female nudity stripper lap dance decapitation character name in title surprise ending,"['David Michael Latt', 'David Rimawi', 'Leigh Scott', 'Sherri Strain', 'Rick Walker']",['Gary Jones'],"['Jeff Miller', 'Gary Jones']",['William Shaffer'],['David Robert Jones'],['Rachael Rose Luckey'],[]
2009,VAmL,f rated,"['Steve Curria', 'Brian Lopes', 'Aaron Poisson', 'Jill Poisson', 'Karen Poisson']",['Jill Poisson'],['Jill Poisson'],"['Aaron Poisson', 'Jill Poisson']",['Jill Poisson'],[],[]
2009,Serial: Amoral Uprising,serial killer murderer friendship,['K.M. Jamison'],['K.M. Jamison'],['K.M. Jamison'],['Michael Scola'],['Michael Scola'],[],[]
2002,Ritual,murder fear conspiracy secret corrupt cop buried alive mysterious illness family secret virus supernatural power investigation brother betrays brother voodoo jamaica brother brother relationship illegitimate daughter villainess nightmare revenge friendship between women hallucination gore zombie inheritance female rear nudity female frontal nudity doctor surprise ending reference to john william polidori breasts nipples buttocks party betrayal undressing servant new york city tunnel hacked to death woman wears a bikini veterinarian exhibitionist bloody scratch trance voodoo ceremony voodoo ritual discovering a corpse voodoo priestess shot to death stabbed to death,"['Matthew Binns', 'Kevin Bocarde', 'Kyle A. Clark', 'Liesl Copland', 'Richard Donner', 'Ron Gell', 'David Giler', 'H. Daniel Gross', 'Ted Hartley', 'Michael A. Helfant', 'Walter Hill', 'Kathy Jordan', 'Avi Nesher', 'Doris Schwartz', 'Joel Silver', 'Steven Squillante', 'Bob Weinstein', 'Robert Zemeckis']",['Avi Nesher'],"['Inez Wallace', 'Curt Siodmak', 'Ardel Wray', 'Rob Cohen', 'Avi Nesher']","['Robert A. Ferretti', 'Michael Schweitzer']","['David A. Armstrong', 'Douglas Milsome']",['Ginger Tougas'],"['Chris Seefried', 'Mako Sujishi', 'John X Volaitis', 'Richard Ziegler']"
